"id,quote,author"
"52,A hero is someone who has given his or her life to something bigger than oneself.,Joseph Campbell"
"53,A part of kindness consists in loving people more than they deserve.,Joseph Joubert"
"54,Only choose in marriage a man whom you would choose as a friend if he were a woman.,Joseph Joubert"
"55,My marriage had been impulsive. That marriage should have been short-lived instead of the 23 years it spanned.,Joseph Barbera"
"56,It's all about the money.,Joseph Jackson"
"57,Work is a prayer. And I start off every morning dedicating it to our Creator.,Joseph Murray"
"58,Movies are different from real life.,Joseph Gordon-Levitt"
"59,Nothing is capable of being well set to music that is not nonsense.,Joseph Addison"
"60,There is not so variable a thing in nature as a lady's head-dress.,Joseph Addison"
"61,Mutability of temper and inconsistency with ourselves is the greatest weakness of human nature.,Joseph Addison"
"62,I take it that what all men are really after is some form or perhaps only some formula of peace.,Joseph Conrad"
"63,Peace on earth would mean the end of civilization as we know it.,Joseph Heller"
"64,My third appeal is to my fellow citizens in all countries: Help us to establish lasting peace in the world.,Joseph Rotblat"
"65,Cats seem to go on the principle that it never does any harm to ask for what you want.,Joseph Wood Krutch"
"66,You will find poetry nowhere unless you bring some of it with you.,Joseph Joubert"
"67,You will not find poetry anywhere unless you bring some of it with you.,Joseph Joubert"
"68,Poetry is the exquisite expression of exquisite expressions.,Joseph Roux"
"69,Poetry is truth in its Sunday clothes.,Joseph Roux"
"70,Politics is the conspiracy of the unproductive but organized against the productive but unorganized.,Joseph Sobran"
"71,The only real power comes out of a long rifle.,Joseph Stalin"
"72,Nothing is more gratifying to the mind of man than power or dominion.,Joseph Addison"
"73,Knowing that you are completely forgiven destroys the power of sin in your life.,Joseph Prince"
"74,Superstition is the only religion of which base souls are capable of.,Joseph Joubert"
"75,A man's real life is that accorded to him in the thoughts of other men by reason of respect or natural love.,Joseph Conrad"
"76,From my earliest days I had a passion for science.,Joseph Rotblat"
"77,I saw science as being in harmony with humanity.,Joseph Rotblat"
"78,What is the damnation of hell? To go with that society who have not obeyed His commands.,Joseph Smith"
"79,It is a maudlin and indecent verity that comes out through the strength of wine.,Joseph Conrad"
"80,Daoist thought is the root of science and technology in China.,Joseph Needham"
"81,Perfection is the child of time.,Joseph Hall"
"82,I used my aviation contacts to open a travel agency. I used to book Caribbean flights.,Joseph Force Crater"
"83,I would say readers can trust my work more than anyone else's.,Joseph J. Ellis"
"84,A man must be both stupid and uncharitable who believes there is no virtue or truth but on his own side.,Joseph Addison"
"85,Those who never retract their opinions love themselves more than they love the truth.,Joseph Joubert"
"86,Justice is the truth in action.,Joseph Joubert"
"87,A caricature is putting the face of a joke on the body of a truth.,Joseph Conrad"
"88,What a man knows is everywhere at war with what he wants.,Joseph Wood Krutch"
"89,A woman seldom asks advice before she has bought her wedding clothes.,Joseph Addison"
"90,Our experience is composed rather of illusions that of wisdom acquired.,Joseph Roux"
"91,As to honor - you know - it's a very fine mediaeval inheritance which women never got hold of. It wasn't theirs.,Joseph Conrad"
