"id,quote,author"
"35,I wished to go completely outside and to make a symbolic start for my enterprise of regenerating the life of humankind within the body of society and to prepare a positive future in this context.,Joseph Beuys"
"36,Laughter is God's blessing.,Joseph Prince"
"37,Before we can know God and understand his great plan it is first necessary for us to believe that he exists and that he rewards all who diligently seek him.,Joseph Franklin Rutherford"
"38,God is a metaphor for that which transcends all levels of intellectual thought. It's as simple as that.,Joseph Campbell"
"39,Every country has the government it deserves.,Joseph de Maistre"
"41,A cloudy day or a little sunshine have as great an influence on many constitutions as the most recent blessings or misfortunes.,Joseph Addison"
"42,Happiness is itself a kind of gratitude.,Joseph Wood Krutch"
"43,Happiness does not consist in self-love.,Joseph Butler"
"44,Life everlasting in a state of happiness is the greatest desire of all men.,Joseph Franklin Rutherford"
"45,The happiness which is lacking makes one think even the happiness one has unbearable.,Joseph Roux"
"46,The inspired Scriptures make the clear distinction between false and true riches and make plain the reason why happiness is gained and fully enjoyed only by those who find true riches.,Joseph Franklin Rutherford"
"47,Happiness is the real sense of fulfillment that comes from hard work.,Joseph Barbara"
"49,History shows that there are no invincible armies.,Joseph Stalin"
"50,The real history of consciousness starts with one's first lie.,Joseph Brodsky"
"51,Our poverty will be brought home to us to its full extent only after the war.,Joseph A. Schumpeter"
"52,Going home must be like going to render an account.,Joseph Conrad"
"53,I hope we don't get to the point where we have to have the cat stop chasing the mouse to teach him glassblowing and basket weaving.,Joseph Barbera"
"54,Imagination is the eye of the soul.,Joseph Joubert"
"55,He who has imagination without learning has wings but no feet.,Joseph Joubert"
"56,One who has imagination without learning has wings without feet.,Joseph Joubert"
"57,Jehovah God is truly rich far beyond the imagination of humankind.,Joseph Franklin Rutherford"
"58,It is not ignorance but knowledge which is the mother of wonder.,Joseph Wood Krutch"
"59,Plant thy foot firmly in the prints which His foot has made before thee.,Joseph Barber Lightfoot"
"60,Play is the only way the highest intelligence of humankind can unfold.,Joseph Chilton Pearce"
"61,It is conceded by all that man is the very highest type of all living creatures on the earth. His intelligence is far superior to that of any other earthly being.,Joseph Franklin Rutherford"
"62,More men die of jealousy than of cancer.,Joseph P. Kennedy"
"66,I was studying for the SAT's and learning lines.,Joseph Gordon-Levitt"
"67,I've had a tough time learning how to act like a congressman. Today I accidentally spent some of my own money.,Joseph P. Kennedy"
"68,All ambitions are lawful except those which climb upward on the miseries or credulities of mankind.,Joseph Conrad"
"69,No oppression is so heavy or lasting as that which is inflicted by the perversion and exorbitance of legal authority.,Joseph Addison"
"70,The privilege of a lifetime is being who you are.,Joseph Campbell"
"72,Life is without meaning. You bring the meaning to it. The meaning of life is whatever you ascribe it to be. Being alive is the meaning.,Joseph Campbell"
"73,Opportunities to find deeper powers within ourselves come when life seems most challenging.,Joseph Campbell"
"74,Your life is the fruit of your own doing. You have no one to blame but yourself.,Joseph Campbell"
"75,A hero is someone who has given his or her life to something bigger than oneself.,Joseph Campbell"
"76,A part of kindness consists in loving people more than they deserve.,Joseph Joubert"
"78,Only choose in marriage a man whom you would choose as a friend if he were a woman.,Joseph Joubert"
"79,My marriage had been impulsive. That marriage should have been short-lived instead of the 23 years it spanned.,Joseph Barbera"
"82,It's all about the money.,Joseph Jackson"
"83,Work is a prayer. And I start off every morning dedicating it to our Creator.,Joseph Murray"
"84,Hollywood has the idea that movies have to be dumb. But especially movies for or about teenagers have to be really dumb!,Joseph Gordon-Levitt"
"85,I don't blame folks for not wanting to put me in their movies or whatever. I understand if their audiences had an association with me.,Joseph Gordon-Levitt"
"86,Movies are different from real life.,Joseph Gordon-Levitt"
"87,There's an absolute prejudice that good movies are dramas and comedies are more dismissable. But I couldn't disagree more.,Joseph Gordon-Levitt"
"89,Nothing is capable of being well set to music that is not nonsense.,Joseph Addison"
"90,There is not so variable a thing in nature as a lady's head-dress.,Joseph Addison"
"91,Mutability of temper and inconsistency with ourselves is the greatest weakness of human nature.,Joseph Addison"
"93,I take it that what all men are really after is some form or perhaps only some formula of peace.,Joseph Conrad"
"94,Peace on earth would mean the end of civilization as we know it.,Joseph Heller"
"95,My third appeal is to my fellow citizens in all countries: Help us to establish lasting peace in the world.,Joseph Rotblat"
"96,Cats seem to go on the principle that it never does any harm to ask for what you want.,Joseph Wood Krutch"
"97,You will find poetry nowhere unless you bring some of it with you.,Joseph Joubert"
"98,You will not find poetry anywhere unless you bring some of it with you.,Joseph Joubert"
"99,Poetry is the exquisite expression of exquisite expressions.,Joseph Roux"
"100,Poetry is truth in its Sunday clothes.,Joseph Roux"
"101,It is enough that the people know there was an election. The people who cast the votes decide nothing. The people who count the votes decide everything.,Joseph Stalin"
"102,Politics is the conspiracy of the unproductive but organized against the productive but unorganized.,Joseph Sobran"
"103,Macroeconomic policy can never be devoid of politics: it involves fundamental trade-offs and affects different groups differently.,Joseph Stiglitz"
"105,The only real power comes out of a long rifle.,Joseph Stalin"
"106,Nothing is more gratifying to the mind of man than power or dominion.,Joseph Addison"
"107,Knowing that you are completely forgiven destroys the power of sin in your life.,Joseph Prince"
"108,The Bible is the only credible guide either as to the real relationship between man and the earth and the great Creator of both or concerning the purpose of the creation of both.,Joseph Franklin Rutherford"
"110,Superstition is the only religion of which base souls are capable of.,Joseph Joubert"
"111,A man's real life is that accorded to him in the thoughts of other men by reason of respect or natural love.,Joseph Conrad"
"112,But the first the general public learned about the discovery was the news of the destruction of Hiroshima by the atom bomb. A splendid achievement of science and technology had turned malign. Science became identified with death and destruction.,Joseph Rotblat"
"113,From my earliest days I had a passion for science.,Joseph Rotblat"
"114,I did not imagine that the second half of my life would be spent on efforts to avert a mortal danger to humanity created by science.,Joseph Rotblat"
"115,I saw science as being in harmony with humanity.,Joseph Rotblat"
"116,Standards of conduct appropriate to civil society or the workings of a democracy cannot be purely and simply applied to the Church.,Joseph Ratzinger"
"117,What is the damnation of hell? To go with that society who have not obeyed His commands.,Joseph Smith"
"121,It is a maudlin and indecent verity that comes out through the strength of wine.,Joseph Conrad"
"122,Some great men owe most of their greatness to the ability of detecting in those they destine for their tools the exact quality of strength that matters for their work.,Joseph Conrad"
"124,To a teacher of languages there comes a time when the world is but a place of many words and man appears a mere talking animal not much more wonderful than a parrot.,Joseph Conrad"
"126,Daoist thought is the root of science and technology in China.,Joseph Needham"
"127,Perfection is the child of time.,Joseph Hall"
"128,I used my aviation contacts to open a travel agency. I used to book Caribbean flights.,Joseph Force Crater"
"129,I would say readers can trust my work more than anyone else's.,Joseph J. Ellis"
"130,A man must be both stupid and uncharitable who believes there is no virtue or truth but on his own side.,Joseph Addison"
"131,Those who never retract their opinions love themselves more than they love the truth.,Joseph Joubert"
"132,Justice is the truth in action.,Joseph Joubert"
"133,A caricature is putting the face of a joke on the body of a truth.,Joseph Conrad"
"135,What a man knows is everywhere at war with what he wants.,Joseph Wood Krutch"
"136,A woman seldom asks advice before she has bought her wedding clothes.,Joseph Addison"
"137,Our experience is composed rather of illusions that of wisdom acquired.,Joseph Roux"
"138,This fear of the Lord is indeed the beginning of wisdom. This consciousness of sin is the straight pathway to heaven.,Joseph Barber Lightfoot"
"139,The fact that the church is convinced of not having the right to confer priestly ordination on women is now considered by some as irreconcilable with the European Constitution.,Joseph Ratzinger"
"140,As to honor - you know - it's a very fine mediaeval inheritance which women never got hold of. It wasn't theirs.,Joseph Conrad"
